group,name,log2FC,FDR
EOAD,MFGE8,-0.250038575763385,0.128043108382428
EOAD,SLC39A10,-0.203606592338212,0.15286188415108
EOAD,KLKB1,0.556362134868968,0.198321867254426
EOAD,FGFR2,-0.0656627709012234,0.452195010003777
EOAD,PTPRZ1,-0.0312659886864548,0.807106086163769
EOAD,GNPTG,-0.0523303094631338,0.752494945492867
EOAD,DYNLL2,0.172513497444125,0.131865581356783
EOAD,SDF4,0.0316055774046191,0.680570020925473
EOAD,PTPRN,-0.417091702081175,0.0799932359889286
EOAD,VSTM2B,-0.299506717327341,0.0812717235536128
EOAD,PRDX1,0.156143776208522,0.415171639338706
EOAD,APOA4,0.421990240901534,0.359982308334619
EOAD,FBLN1,-0.0532300232763188,0.492479114207099
EOAD,CADM3,-0.100112693976794,0.244309825422506
EOAD,SERPING1,0.230918628294303,0.217196409003323
EOAD,APOE,-0.208712279187374,0.189701282768126
EOAD,SOD2,0.176923971751727,0.217196409003323
EOAD,PENK,-0.132202414554564,0.518689159228182
EOAD,CST3,-0.100413393715579,0.398576831634405
EOAD,CFD,0.297552715981688,0.131865581356783
EOAD,CADM4,-0.01802593469424,0.839731751112782
EOAD,FN1,-0.0095809497271641,0.939952431711865
EOAD,COLEC12,0.0679405896940519,0.426283493009268
EOAD,CFH,0.162544547242131,0.269973336530036
EOAD,CNTN1,-0.0196614944719027,0.835106972193399
EOAD,ORM1,0.489818210150625,0.217196409003323
EOAD,NPY,-0.527731845087636,0.23096129914898
EOAD,ECM2,-0.0055220184231963,0.957321528890284
EOAD,CD14,-0.057016650652896,0.741600451197945
EOAD,ENDOD1,0.0293595056833986,0.78108975374199
EOAD,APOA1,0.380066677641487,0.289972168237634
EOAD,OLFM1,-0.0590062848327335,0.502347052407225
EOAD,FGFR1,-0.14361108748407,0.289042183250483
EOAD,HABP2,0.415390893659348,0.166083294019683
EOAD,PTGDS,-0.0017918444374593,0.984135985475772
EOAD,GLDN,0.173895690143912,0.128043108382428
EOAD,GOLIM4,-0.071840917051432,0.438121446854399
EOAD,SOD3,0.30192167038839,0.258665358234891
EOAD,SERPINF1,-0.0113001775092769,0.925386591532479
EOAD,C8A,0.266147725414408,0.426283493009268
EOAD,RNASE2,0.158404375093463,0.656521449507206
EOAD,ITIH1,0.600450170543573,0.244309825422506
EOAD,TIMP2,0.050471761572334,0.610273954042509
EOAD,SORCS2,-0.0681678558794783,0.531510165641596
EOAD,ORM2,0.511961077820523,0.20880605826187
EOAD,CD163,0.0481822965090153,0.588472362557281
EOAD,CADM2,-0.0748969064042964,0.592470383049134
EOAD,SORCS3,-0.243804744697926,0.0799932359889286
EOAD,TALDO1,0.203067147285147,0.0365963222892319
EOAD,OMD,0.0425720145075328,0.67970693692017
EOAD,ENO1,0.283050843938158,0.0351335586524706
EOAD,NRXN1,-0.16914307528352,0.125543837998659
EOAD,SERPINA3,0.39462474287439,0.15286188415108
EOAD,FCGBP,0.0740518558357692,0.727411255204692
EOAD,MAN2A2,-0.116258118273562,0.293101131076586
EOAD,RNASE6,0.137177503641936,0.280224523269851
EOAD,MARCKS,0.0440432792017527,0.464928282815965
EOAD,ST6GAL2,-0.0909168551321935,0.543432442628694
EOAD,NID1,0.0256335227762996,0.631837497615648
EOAD,COTL1,0.140120691735668,0.270597197294007
EOAD,TXN,0.0924179681043471,0.244309825422506
EOAD,CUTA,-0.136227756847366,0.370576639002162
EOAD,NPTXR,-0.557791782137176,0.0209839419446216
EOAD,MDH1,0.343549588281672,0.0896388538602821
EOAD,C8G,0.335179851749118,0.41798788651348
EOAD,PRG4,-0.174165188230367,0.562567346037185
EOAD,ARMH4,-0.109112186670877,0.313499705806341
